weeknum,end_station_name,member_casual,count_of_users
22,Southport Ave & Wellington Ave,casual,114
22,Peoria St & Jackson Blvd,casual,114
26,Honore St & Division St,casual,114
27,Jefferson St & Monroe St,casual,114
27,Michigan Ave & 14th St,casual,114
28,Larrabee St & Kingsbury St,casual,114
29,Lincoln Ave & Belle Plaine Ave,casual,114
30,California Ave & Milwaukee Ave,casual,114
9,Shedd Aquarium,casual,113
14,Clark St & Elm St,casual,113
18,State St & Chicago Ave,casual,113
24,Lincoln Ave & Diversey Pkwy,casual,113
24,Delano Ct & Roosevelt Rd,casual,113
28,California Ave & Milwaukee Ave,casual,113
30,Millennium Park,casual,113
21,Franklin St & Jackson Blvd,casual,112
21,Damen Ave & Cortland St,casual,112
24,LaSalle Dr & Huron St,casual,112
27,Ashland Ave & Wrightwood Ave,casual,112
27,Sheridan Rd & Lawrence Ave,casual,112
2,Streeter Dr & Grand Ave,casual,111
15,Western Ave & Winnebago Ave,casual,111
15,Clarendon Ave & Gordon Ter,casual,111
16,Ellis Ave & 55th St,casual,111
20,Ritchie Ct & Banks St,casual,111
21,Sheffield Ave & Wellington Ave,casual,111
22,Pine Grove Ave & Waveland Ave,casual,111
25,Racine Ave & Wrightwood Ave,casual,111
14,Wells St & Concord Ln,casual,110
15,Ravenswood Ave & Lawrence Ave,casual,110
15,Clarendon Ave & Junior Ter,casual,110
20,Damen Ave & Cortland St,casual,110
24,Broadway & Sheridan Rd,casual,110
26,Field Museum,casual,110
26,May St & Taylor St,casual,110
27,Clark St & Leland Ave,casual,110
27,Lakefront Trail & Wilson Ave,casual,110
30,Aberdeen St & Randolph St,casual,110
15,Halsted St & Clybourn Ave,casual,109
20,Clark St & Newport St,casual,109
22,LaSalle Dr & Huron St,casual,109
27,California Ave & Montrose Ave,casual,109
27,Canal St & Monroe St,casual,109
29,Broadway & Thorndale Ave,casual,109
8,Millennium Park,casual,108
15,Sheffield Ave & Kingsbury St,casual,108
16,Kingsbury St & Kinzie St,casual,108
18,Rush St & Cedar St,casual,108
20,California Ave & Milwaukee Ave,casual,108
21,Desplaines St & Jackson Blvd,casual,108
22,Lincoln Ave & Diversey Pkwy,casual,108
26,Broadway & Cornelia Ave,casual,108
27,Dayton St & North Ave,casual,108
28,May St & Taylor St,casual,108
17,Ellis Ave & 55th St,casual,107
18,Clark St & Grace St,casual,107
21,California Ave & Milwaukee Ave,casual,107
24,Rhodes Ave & 32nd St,casual,107
28,State St & Harrison St,casual,107
15,Lakefront Trail & Wilson Ave,casual,106
17,Kingsbury St & Kinzie St,casual,106
24,Carpenter St & Huron St,casual,106
24,Orleans St & Hubbard St,casual,106
27,Wood St & Augusta Blvd,casual,106
13,Millennium Park,casual,105
